"","Race","Involvement.Type","2011","2012","2013","2014","2015","2016"
"1","American Indian or Alaskan Native","Arrested",20,16,25,15,20,11
"2","American Indian or Alaskan Native","Cited",7,6,10,4,3,1
"3","American Indian or Alaskan Native","Warned",NA,NA,NA,2,1,2
"4","Asian or Pacific Islander","Arrested",77,64,71,73,101,48
"5","Asian or Pacific Islander","Cited",142,143,151,158,208,55
"6","Asian or Pacific Islander","Warned",NA,NA,4,16,25,17
"7","Black","Arrested",723,754,786,763,871,468
"8","Black","Cited",244,265,311,298,436,141
"9","Black","Warned",1,4,6,68,92,34
"10","None Selected","Arrested",20,24,12,8,1,NA
"11","None Selected","Cited",26,8,38,2,23,36
"12","None Selected","Warned",1,1,1,4,NA,NA
"13","Not available","Arrested",156,53,58,26,6,9
"14","Not available","Cited",503,500,769,734,554,137
"15","Not available","Warned",2,NA,20,26,9,16
"16","Unknown","Arrested",100,2,NA,3,1,1
"17","Unknown","Cited",105,2,2,NA,NA,NA
"18","Unknown","Warned",NA,NA,NA,1,NA,NA
"19","White","Arrested",1106,1097,1189,1112,1129,455
"20","White","Cited",1392,1442,1358,1361,1698,590
"21","White","Warned",7,19,33,199,288,140
